Student_ID,College,Year_of_Study,Branch,CGPA,Backlogs_Active,Primary_Domain,Languages_Known,Frameworks_Known,LeetCode_Easy_Solved,LeetCode_Medium_Solved,LeetCode_Hard_Solved,Total_LeetCode_Solved,DSA_Consistency_Score_0to1,Daily_Coding_Streak_Days,Competitive_Programming_Tier,Number_of_Internships,Best_Internship_Quality,Number_of_Projects,Best_Project_Type,GitHub_Commit_Activity,Open_Source_PRs_Merged,System_Design_Level,System_Design_Books_Read,OS_Networking_Knowledge,Communication_Skill,Attitude_Towards_Prep,Mock_Interviews_Done,Behavioral_Prep_Level,Reading_Habits,Certifications,Hackathon_Wins,LinkedIn_Followers,Tech_Blog_Posts_Written,Resume_Quality,Referral_Status,Networking_Effort,Consistency_Score_0to1,Interview_Rounds_Cleared,Final_Offer_Status,FAANG_Ready_Label
T3CS0396,IES IPS Academy,4,CSE,9.69,1,Systems,"TypeScript, Go, JavaScript, Python, Java, C++","Django, PyTorch",183,326,94,603,0.31,0,Specialist (CF),2,No Internship,5,Original Solo,Monthly,20,Knows basics,Multiple SD Books,Strong,Poor,Highly Motivated,3,Practiced 10+,Occasional,Google ML Crash Course,1,1716,0,Weak,Alumni Referral,None,0.74,0,No Offer,No
T3CS0397,Shri Vaishnav Institute,2,CSE,9.36,0,Data Engineering,"JavaScript, Bash, Python, TypeScript, Go, Java","PyTorch, Spring Boot",103,149,28,280,0.61,106,Specialist (CF),1,Mid Startup (50-200),7,Production Deployed,Rarely,5,Can design distributed systems,Grokking + DDIA,Moderate,Poor,Motivated,10,None,Daily Tech Reading,None,0,3983,20,ATS Optimized,No Referral,Strong Network,0.63,0,No Offer,No
T3CS0398,RJIT Gwalior,3,CSE,7.43,0,Systems,"Java, Kotlin, C++, SQL, Go",FastAPI,170,316,35,521,0.46,31,Newbie,2,Small Startup (10-50),5,Solo Clone,Rarely,50,Surface knowledge,Grokking SD,Strong,Average,Neutral,10,Practiced 30+,Weekly Tech Blogs,Azure Fundamentals,0,1311,2,ATS Optimized,Yes - Strong Referral,None,0.39,0,Offer from Product Company,No
T3CS0399,Truba Institute,3,CSE,8.88,2,Data Engineering,"C++, SQL",TensorFlow,58,13,33,104,0.21,0,Candidate Master,2,Startup (<10 emp),5,Production Deployed,Daily,1,Knows basics,Grokking SD,Moderate,Below Average,Low Effort,3,Basic (STAR method),Daily Tech Reading,Coursera Specialization,0,3359,5,Weak,Alumni Referral,Passive (just LinkedIn),0.41,3,No Offer,No
T3CS0400,Truba Institute,3,CSE,8.9,1,ML/AI,"Kotlin, Bash, JavaScript",Django,156,49,59,264,0.55,293,Candidate Master,1,Open Source Contribution Only,5,Open Source Contrib,Daily,1,Knows basics,DDIA,Moderate,Excellent,Highly Motivated,1,Basic (STAR method),Never,Google ML Crash Course,0,522,1,No Resume Yet,Yes - Weak Referral,Passive (just LinkedIn),0.57,1,No Offer,No
T3CS0401,SAGE University,3,CSE,5.96,0,Full Stack,"TypeScript, C++, JavaScript, Python, SQL",Django,128,125,44,297,0.31,140,Master,1,Startup (<10 emp),5,Research Project,Weekly,10,Knows basics well,DDIA,Moderate,Below Average,Neutral,30,Practiced 10+,Occasional,None,0,521,5,Average,Yes - Weak Referral,Passive (just LinkedIn),0.85,5,No Offer,No
T3CS0402,Renaissance College,2,CSE,9.56,0,ML/AI,"Rust, SQL","Spring Boot, Node.js",165,6,60,231,0.66,84,Specialist (CF),2,Service Company (Tier-3),5,Original Team,Daily,1,No idea,None,Weak,Good,Neutral,3,Practiced 30+,Occasional,Meta Frontend Cert,3,4878,0,Good but not ATS,No Referral,Passive (just LinkedIn),0.77,3,No Offer,No
T3CS0403,RGPV Bhopal,2,CSE,7.77,0,DevOps,"SQL, Java, C++, TypeScript","Next.js, Flutter",165,137,82,384,0.79,99,LeetCode Knight,2,Small Startup (10-50),7,Solo Clone,Daily,3,Knows basics well,Multiple SD Books,Weak,Average,Motivated,2,Practiced 30+,Never,None,0,2320,0,ATS Optimized + Strong,No Referral,Passive (just LinkedIn),0.75,2,No Offer,No
T3CS0404,Truba Institute,3,CSE,9.22,3,ML/AI,C++,TensorFlow,147,64,30,241,0.21,196,Candidate Master,0,Service Company (Tier-2),5,Original Solo,Rarely,15,Not started,Grokking + DDIA,Weak,Average,Highly Motivated,3,None,Occasional,Google ML Crash Course,1,935,0,ATS Optimized + Strong,No Referral,Active Outreach,0.49,1,Offer from Product Company,No
T3CS0405,Renaissance College,2,CSE,6.94,0,ML/AI,"SQL, Go","Next.js, Node.js, PyTorch, Express, Flutter",158,44,0,202,0.2,81,LeetCode Knight,0,Mid Startup (50-200),1,Original Solo,Monthly,5,Not started,DDIA,Moderate,Below Average,Motivated,1,Practiced 30+,Never,None,0,2230,1,No Resume Yet,Yes - Strong Referral,Passive (just LinkedIn),0.65,3,No Offer,No
T3CS0406,Medicaps University,3,CSE,9.53,0,DevOps,JavaScript,"PyTorch, TensorFlow",68,100,15,183,0.16,36,Top 50% LeetCode,3,Service Company (Tier-2),4,Open Source Contrib,Rarely,10,Knows basics,Grokking SD,Weak,Below Average,Neutral,5,None,Books (DSA/System Design),Meta Frontend Cert,1,4040,2,ATS Optimized + Strong,Yes - Strong Referral,Passive (just LinkedIn),0.64,0,Offer from Startup,No
T3CS0407,RJIT Gwalior,3,CSE,7.25,0,Data Engineering,"C++, Python",Express,103,138,12,253,0.11,70,Expert (CF),2,Product Company,4,Original Team,Weekly,15,Not started,None,Weak,Below Average,Low Effort,3,Practiced 30+,Books (DSA/System Design),AWS Certified,1,4583,2,Average,Alumni Referral,Active Outreach,0.76,5,No Offer,No
T3CS0408,Patel College of Science,3,CSE,5.55,0,Backend,"TypeScript, C++","PyTorch, Spring Boot, Flutter, TensorFlow",153,6,20,179,0.33,0,Master,0,No Internship,4,Original Solo,Rarely,5,Knows basics,DDIA,Weak,Average,Neutral,7,None,Occasional,Google ML Crash Course,0,4941,10,No Resume Yet,Professor Referral,Passive (just LinkedIn),0.53,2,No Offer,No
T3CS0409,SAGE University,3,CSE,9.57,0,Backend,"Python, Bash, TypeScript",Flutter,86,151,37,274,0.27,96,Top 50% LeetCode,1,MAANG/FAANG Adjacent,5,Original Solo,Weekly,20,Knows basics,Grokking SD,Moderate,Average,Neutral,15,Practiced 10+,Books (DSA/System Design),Azure Fundamentals,1,3697,0,ATS Optimized + Strong,No Referral,None,0.73,0,No Offer,No
T3CS0410,Acropolis Institute,3,CSE,5.91,0,Data Engineering,"Go, Java","Flutter, Next.js, Express, FastAPI",88,102,63,253,0.7,198,Top 25% LeetCode,1,Small Startup (10-50),7,Solo Clone,None,1,Not started,None,Moderate,Good,Highly Motivated,5,None,Rarely,Google ML Crash Course,1,2837,5,ATS Optimized,Yes - Strong Referral,Active Outreach,0.51,4,No Offer,No
T3CS0411,Acropolis Institute,4,CSE,6.94,0,Full Stack,"Bash, Kotlin","PyTorch, TensorFlow",134,50,32,216,0.62,195,Master,2,Startup (<10 emp),7,Original Solo,Rarely,15,Knows basics,None,Weak,Poor,Motivated,30,Basic (STAR method),Occasional,Multiple Certs,0,4083,1,Good but not ATS,Alumni Referral,Strong Network,0.48,2,Offer from Product Company,No
T3CS0412,Truba Institute,2,CSE,9.78,0,Cybersecurity,"SQL, Rust, Python, TypeScript, Go","FastAPI, Flutter",163,230,59,452,0.27,103,LeetCode Knight,1,Startup (<10 emp),5,Production Deployed,Weekly,20,Not started,Grokking SD,Weak,Average,Neutral,5,Practiced 10+,Rarely,Coursera Specialization,5,2461,5,Average,Professor Referral,None,0.86,0,FAANG Offer,Yes
T3CS0413,TIT Bhopal,3,CSE,9.78,0,Backend,"C++, Kotlin, TypeScript",Django,44,164,37,245,0.14,0,LeetCode Guardian,1,Open Source Contribution Only,2,Original Solo,Rarely,50,Knows basics,DDIA,Moderate,Good,Passive,5,Practiced 10+,Books (DSA/System Design),Azure Fundamentals,1,3243,10,Good but not ATS,Professor Referral,Active Outreach,0.59,0,Offer from Product Company,No
T3CS0414,TIT Bhopal,3,CSE,8.08,0,Systems,"Java, C++, Kotlin","Node.js, Flutter, Express",78,155,12,245,0.72,76,Top 25% LeetCode,1,No Internship,5,Original Solo,Weekly,2,No idea,Grokking SD,Weak,Good,Highly Motivated,10,None,Occasional,Azure Fundamentals,1,3359,0,Good but not ATS,No Referral,Passive (just LinkedIn),0.56,0,Offer from Mid Company,No
T3CS0415,Truba Institute,4,CSE,8.34,0,Full Stack,"SQL, C++, Rust, Bash, Python, TypeScript, Go","React, Flutter, TensorFlow, Django, Express",153,263,68,484,0.52,261,Newbie,2,Service Company (Tier-3),7,Solo Clone,None,2,Not started,Grokking + DDIA,Weak,Average,Neutral,3,Practiced 10+,Never,Google ML Crash Course,3,685,2,No Resume Yet,Yes - Strong Referral,Active Outreach,0.64,0,Offer from Startup,No
T3CS0416,LNCT Bhopal,3,CSE,7.52,1,ML/AI,"Go, Bash, Python",Flutter,105,0,36,141,0.11,0,Candidate Master,1,Service Company (Tier-2),7,Production Deployed,Monthly,10,No idea,None,None,Average,Low Effort,30,Fully Prepped,Weekly Tech Blogs,None,2,2160,5,No Resume Yet,Yes - Strong Referral,Passive (just LinkedIn),0.72,4,No Offer,No
T3CS0417,LNCT Bhopal,3,CSE,6.82,0,ML/AI,"SQL, Python","Flutter, Next.js, TensorFlow, PyTorch, Spring Boot, Node.js",139,61,116,316,0.38,134,Top 50% LeetCode,2,Open Source Contribution Only,6,Production Deployed,None,1,Knows basics well,Grokking SD,Moderate,Excellent,Highly Motivated,10,Practiced 10+,Occasional,AWS Certified,2,3988,5,Good but not ATS,Yes - Strong Referral,None,0.65,4,Offer from Startup,No
T3CS0418,IIST Indore,3,CSE,6.98,0,Systems,"Rust, C++, SQL",React,0,0,0,0,0.12,0,Newbie,0,Open Source Contribution Only,3,Original Solo,Daily,2,No idea,None,Weak,Average,Passive,10,Basic (STAR method),Never,Multiple Certs,3,4066,20,ATS Optimized,Yes - Strong Referral,Active Outreach,0.4,0,No Offer,No
T3CS0419,Oriental College,4,CSE,8.53,0,ML/AI,"Go, C++",FastAPI,26,166,22,214,0.2,207,Newbie,0,Open Source Contribution Only,1,Original Solo,None,15,No idea,Grokking SD,None,Poor,Neutral,3,Practiced 10+,Books (DSA/System Design),Azure Fundamentals,0,1567,0,ATS Optimized,Professor Referral,Active Outreach,0.57,5,No Offer,No
T3CS0420,NRI Institute,3,CSE,8.89,0,Full Stack,"TypeScript, Bash, SQL, Java",FastAPI,71,68,0,139,0.13,23,LeetCode Knight (near),1,Open Source Contribution Only,2,Original Team,Rarely,2,Can design distributed systems,None,Weak,Average,Low Effort,0,Basic (STAR method),Never,GCP Associate,0,38,20,ATS Optimized + Strong,Yes - Strong Referral,Strong Network,0.76,0,Offer from Startup,No
T3CS0421,Shri Vaishnav Institute,4,CSE,9.06,3,ML/AI,"TypeScript, JavaScript, Python, Go, SQL, Kotlin","Django, Next.js, React, FastAPI, TensorFlow",183,184,108,475,0.33,293,Unrated/NA,0,MAANG/FAANG Adjacent,6,Original Solo,Rarely,10,Knows basics well,None,Moderate,Excellent,Highly Motivated,1,Basic (STAR method),Weekly Tech Blogs,Azure Fundamentals,2,2544,5,ATS Optimized + Strong,Professor Referral,Passive (just LinkedIn),0.69,4,Offer from Mid Company,No
T3CS0422,SAGE University,4,CSE,9.05,0,Full Stack,"TypeScript, Bash",Django,75,113,14,202,0.13,93,Master,0,Small Startup (10-50),8,Original Team,Weekly,1,Knows basics,DDIA,None,Average,Passive,15,Basic (STAR method),Daily Tech Reading,Meta Frontend Cert,0,4875,10,ATS Optimized,Yes - Weak Referral,Passive (just LinkedIn),0.77,4,Offer from Product Company,No
T3CS0423,Medicaps University,4,CSE,5.91,0,Android/iOS,"C++, TypeScript","React, Express",61,81,5,147,0.11,0,Expert (CF),0,Startup (<10 emp),3,Production Deployed,Rarely,0,No idea,Grokking SD,Weak,Below Average,Low Effort,0,Basic (STAR method),Rarely,None,2,1256,1,Average,Professor Referral,Strong Network,0.26,3,Offer from Startup,No
T3CS0424,Shri Vaishnav Institute,3,CSE,7.72,0,Systems,"Go, Java, TypeScript",Spring Boot,98,56,44,198,0.25,95,Specialist (CF),0,Service Company (Tier-3),5,Original Solo,Weekly,50,Surface knowledge,DDIA,Moderate,Average,Low Effort,0,Basic (STAR method),Occasional,None,0,2990,0,ATS Optimized,No Referral,Passive (just LinkedIn),0.58,2,No Offer,No
T3CS0425,Malwa Institute,2,CSE,5.76,0,Android/iOS,Bash,"FastAPI, Flutter",23,85,10,118,0.13,0,Top 50% LeetCode,0,Service Company (Tier-3),3,Original Solo,Monthly,20,Not started,Grokking + DDIA,Moderate,Average,Passive,5,Practiced 10+,Weekly Tech Blogs,Coursera Specialization,0,2196,1,Average,Professor Referral,Strong Network,0.39,0,No Offer,No
T3CS0426,Patel College of Science,3,CSE,7.97,1,Systems,"TypeScript, JavaScript, Java, SQL, Kotlin","PyTorch, FastAPI, Django",185,129,45,359,0.65,268,LeetCode Knight (near),0,Service Company (Tier-2),7,Team Clone,Monthly,1,No idea,None,Strong,Average,Neutral,0,None,Never,AWS Certified,0,3468,0,Good but not ATS,Yes - Strong Referral,None,0.55,0,No Offer,No
T3CS0427,RJIT Gwalior,3,CSE,7.49,0,DevOps,"Java, Go",Spring Boot,38,110,21,169,0.14,124,Candidate Master,0,Open Source Contribution Only,6,Original Team,Daily,50,Knows basics,None,Moderate,Average,Highly Motivated,30,Practiced 30+,Occasional,Meta Frontend Cert,2,2708,0,No Resume Yet,Yes - Strong Referral,Passive (just LinkedIn),0.57,0,Offer from Startup,No
T3CS0428,Renaissance College,4,CSE,9.49,0,Systems,"Kotlin, C++, Bash, Rust","Express, Flutter, Next.js, React, Django",80,149,102,331,0.59,321,Pupil,3,Mid Startup (50-200),7,Original Team,None,10,Surface knowledge,Multiple SD Books,Strong,Excellent,Highly Motivated,1,Basic (STAR method),Never,GCP Associate,0,301,2,Average,Professor Referral,None,0.99,0,Offer from Startup,No
T3CS0429,SGSITS Indore,3,CSE,7.08,1,Android/iOS,"Go, Bash, Kotlin, JavaScript","Flutter, React",155,249,70,474,0.23,263,Top 10% LeetCode,0,Mid Startup (50-200),10,Team Clone,Daily,0,Knows basics,DDIA,Strong,Poor,Highly Motivated,20,Practiced 10+,Daily Tech Reading,AWS Certified,5,646,1,ATS Optimized,Alumni Referral,Passive (just LinkedIn),0.83,3,No Offer,No
T3CS0430,Truba Institute,3,CSE,6.03,0,Android/iOS,"Kotlin, Go, SQL","Node.js, PyTorch, Express, TensorFlow",96,101,48,245,0.15,169,LeetCode Knight,0,Open Source Contribution Only,4,Open Source Contrib,Daily,2,No idea,None,Moderate,Good,Neutral,2,Practiced 30+,Daily Tech Reading,GCP Associate,1,4758,0,ATS Optimized,Professor Referral,Active Outreach,0.73,0,Offer from Mid Company,No
T3CS0431,IIST Indore,4,CSE,6.14,0,DevOps,"Python, Bash, C++",Django,49,80,36,165,0.45,242,Expert (CF),3,Open Source Contribution Only,6,Open Source Contrib,Rarely,3,Knows basics well,DDIA,Moderate,Below Average,Highly Motivated,1,Basic (STAR method),Daily Tech Reading,AWS Certified,0,1759,0,Good but not ATS,Alumni Referral,Active Outreach,0.63,4,No Offer,No
T3CS0432,TIT Bhopal,3,CSE,8.93,0,Systems,"JavaScript, Go, Java, SQL, TypeScript, Python","Node.js, Express, FastAPI",162,46,3,211,0.47,167,Master,0,Small Startup (10-50),6,Solo Clone,Monthly,50,Knows basics well,Multiple SD Books,Weak,Good,Highly Motivated,30,Basic (STAR method),Books (DSA/System Design),Google ML Crash Course,0,4351,3,Good but not ATS,No Referral,Active Outreach,0.6,1,No Offer,No
T3CS0433,Patel College of Science,3,CSE,8.28,0,Data Engineering,"Python, Kotlin, C++, Rust",Node.js,70,0,52,122,0.23,252,Newbie,2,Startup (<10 emp),3,Research Project,Monthly,10,Not started,Multiple SD Books,Moderate,Below Average,Motivated,1,None,Rarely,Multiple Certs,2,597,5,Average,No Referral,Passive (just LinkedIn),0.78,1,Offer from Startup,No
T3CS0434,Chameli Devi Group,3,CSE,5.96,1,Data Engineering,"Kotlin, Bash, SQL, Python, TypeScript","TensorFlow, Express, React",38,46,23,107,0.2,231,Unrated/NA,2,Mid Startup (50-200),6,Research Project,Rarely,2,No idea,None,Strong,Below Average,Low Effort,10,Basic (STAR method),Books (DSA/System Design),Azure Fundamentals,0,661,0,ATS Optimized + Strong,Yes - Strong Referral,None,0.42,2,No Offer,No
T3CS0435,Medicaps University,2,CSE,5.88,0,Data Engineering,"Java, Kotlin, C++, Bash, SQL","Node.js, Flutter, PyTorch, Spring Boot, Django",147,254,21,422,0.38,268,LeetCode Guardian,0,Service Company (Tier-2),5,Original Team,Weekly,10,Not started,None,Weak,Average,Highly Motivated,0,Practiced 10+,Books (DSA/System Design),None,0,4330,15,Weak,Yes - Strong Referral,None,0.69,0,No Offer,No
T3CS0436,Renaissance College,3,CSE,8.65,0,DevOps,JavaScript,"Flutter, PyTorch",61,36,0,97,0.12,64,LeetCode Knight (near),1,Product Company,2,Original Solo,Rarely,3,Not started,Grokking + DDIA,Weak,Average,Low Effort,2,Basic (STAR method),Books (DSA/System Design),Google ML Crash Course,5,1368,0,Weak,Alumni Referral,None,0.4,3,Offer from Startup,No
T3CS0437,Oriental College,4,CSE,5.83,0,Backend,Python,"PyTorch, TensorFlow, FastAPI",114,109,29,252,0.4,37,Candidate Master,1,Open Source Contribution Only,5,Production Deployed,Rarely,0,Knows basics,Grokking SD,Moderate,Good,Low Effort,15,Basic (STAR method),Weekly Tech Blogs,Multiple Certs,1,2581,15,Weak,Alumni Referral,Active Outreach,0.59,0,Offer from Startup,No
T3CS0438,Bansal College,3,CSE,9.2,0,Android/iOS,"SQL, Bash","Spring Boot, FastAPI, TensorFlow, Next.js, Flutter",120,151,29,300,0.51,163,Pupil,1,Startup (<10 emp),8,Research Project,Weekly,15,Knows basics well,DDIA,Weak,Excellent,Neutral,0,None,Never,Multiple Certs,0,3868,5,Average,Yes - Weak Referral,None,0.48,2,No Offer,No
T3CS0439,TIT Bhopal,2,CSE,8.68,0,ML/AI,"C++, Rust",Next.js,45,45,34,124,0.12,20,Top 25% LeetCode,0,Startup (<10 emp),3,Production Deployed,Daily,2,Surface knowledge,Grokking SD,Moderate,Good,Neutral,10,Practiced 10+,Never,AWS Certified,1,3537,20,Good but not ATS,No Referral,Active Outreach,0.45,5,No Offer,No
T3CS0440,LNCT Bhopal,2,CSE,5.87,0,ML/AI,"Rust, Bash, SQL, C++","TensorFlow, Flutter",110,135,15,260,0.24,194,LeetCode Knight,0,Small Startup (10-50),1,Open Source Contrib,Monthly,1,Knows basics well,Grokking SD,Moderate,Average,Low Effort,10,None,Never,Coursera Specialization,0,4865,0,Good but not ATS,Yes - Strong Referral,Active Outreach,0.62,1,No Offer,No
T3CS0441,RGPV Bhopal,3,CSE,5.88,0,Systems,"SQL, Rust, Bash, JavaScript, Kotlin","TensorFlow, React, Spring Boot, FastAPI, Next.js",167,160,45,372,0.3,193,LeetCode Knight,2,Open Source Contribution Only,8,Production Deployed,Daily,20,Can design distributed systems,None,Strong,Average,Motivated,0,Basic (STAR method),Weekly Tech Blogs,Multiple Certs,0,4308,0,Good but not ATS,Professor Referral,Strong Network,0.91,4,Offer from Product Company,No
T3CS0442,Malwa Institute,2,CSE,9.94,0,Backend,"Rust, JavaScript, Bash, Java, SQL",Node.js,93,78,44,215,0.22,42,LeetCode Guardian,1,Product Company,5,Production Deployed,Rarely,1,Surface knowledge,DDIA,Moderate,Average,Neutral,20,None,Occasional,None,0,4558,0,ATS Optimized,Yes - Weak Referral,Passive (just LinkedIn),0.4,5,Offer from Startup,No
T3CS0443,RJIT Gwalior,3,CSE,7.18,0,Backend,"JavaScript, SQL, C++, Java","React, FastAPI, Django",196,215,78,489,0.2,438,Top 25% LeetCode,1,Service Company (Tier-2),9,Production Deployed,Weekly,20,Knows basics,None,Weak,Excellent,Neutral,10,None,Rarely,Meta Frontend Cert,2,282,20,ATS Optimized + Strong,Yes - Weak Referral,None,1.0,5,No Offer,No
T3CS0444,TIT Bhopal,4,CSE,7.17,0,Full Stack,"Rust, JavaScript, SQL, Kotlin, Bash","Flutter, Node.js, Spring Boot, FastAPI, Express, React",89,152,69,310,0.76,157,Expert (CF),1,Service Company (Tier-2),4,Team Clone,Weekly,0,Knows basics,DDIA,None,Excellent,Highly Motivated,3,Basic (STAR method),Daily Tech Reading,Azure Fundamentals,2,3678,0,ATS Optimized + Strong,Yes - Strong Referral,None,0.81,1,Offer from Startup,No
T3CS0445,LNCT Bhopal,3,CSE,9.16,0,Full Stack,"C++, Kotlin, TypeScript, SQL, JavaScript","TensorFlow, Django, React, Spring Boot, PyTorch",141,192,100,433,0.85,208,Pupil,0,Startup (<10 emp),7,Open Source Contrib,Monthly,5,Surface knowledge,Grokking SD,Strong,Poor,Motivated,3,Fully Prepped,Books (DSA/System Design),Google ML Crash Course,0,1486,5,No Resume Yet,Yes - Strong Referral,Passive (just LinkedIn),0.82,0,Offer from Product Company,No
T3CS0446,Malwa Institute,3,CSE,9.76,2,Systems,"Rust, Bash",Next.js,127,59,0,186,0.13,0,Top 10% LeetCode,0,Mid Startup (50-200),5,Production Deployed,Weekly,10,Surface knowledge,None,Moderate,Average,Neutral,10,Basic (STAR method),Books (DSA/System Design),Azure Fundamentals,0,4082,20,No Resume Yet,Alumni Referral,None,0.13,4,No Offer,No
T3CS0447,Medicaps University,2,CSE,9.94,1,DevOps,"SQL, Java, Rust",Next.js,66,77,33,176,0.27,71,Top 50% LeetCode,1,No Internship,2,Production Deployed,None,15,Surface knowledge,Multiple SD Books,Moderate,Below Average,Neutral,3,Practiced 10+,Never,AWS Certified,0,4183,10,Weak,Yes - Strong Referral,Active Outreach,0.46,0,No Offer,No
T3CS0448,RJIT Gwalior,2,CSE,8.89,1,Data Engineering,"SQL, TypeScript, JavaScript, Go",Flutter,83,0,56,139,0.18,0,Expert (CF),1,No Internship,2,Original Team,Rarely,3,Knows basics,Grokking + DDIA,None,Below Average,Low Effort,2,Basic (STAR method),Never,GCP Associate,0,460,5,ATS Optimized + Strong,Yes - Weak Referral,None,0.33,1,No Offer,No
T3CS0449,IIST Indore,3,CSE,7.19,0,ML/AI,"Python, Go, Kotlin, C++, JavaScript, Java","TensorFlow, React, Spring Boot",209,342,84,635,0.56,289,Pupil,0,Small Startup (10-50),10,Production Deployed,Monthly,0,Knows basics,DDIA,Moderate,Good,Highly Motivated,15,Practiced 10+,Never,AWS Certified,2,2325,5,Good but not ATS,No Referral,Active Outreach,0.7,0,No Offer,No
T3CS0450,SIRT Bhopal,3,CSE,5.88,0,Full Stack,"TypeScript, C++, Kotlin, Bash, SQL, JavaScript","Spring Boot, Next.js, Node.js, React, PyTorch, TensorFlow",160,72,112,344,0.8,484,Master,1,Open Source Contribution Only,7,Original Team,Weekly,20,Surface knowledge,None,Moderate,Average,Motivated,7,Basic (STAR method),Books (DSA/System Design),None,0,3754,0,No Resume Yet,Yes - Strong Referral,None,0.94,0,Offer from Startup,No
T3CS0451,IES IPS Academy,2,CSE,9.0,3,Full Stack,"Go, Python, Kotlin, SQL, JavaScript, Java, TypeScript, C++","Spring Boot, Flutter, TensorFlow, React, Next.js",242,317,94,653,0.7,331,Master,1,Open Source Contribution Only,8,Open Source Contrib,Weekly,2,Knows basics,Grokking SD,Weak,Average,Highly Motivated,10,Practiced 10+,Never,AWS Certified,1,2468,1,ATS Optimized,Yes - Weak Referral,Active Outreach,0.99,2,FAANG Offer (Deferred),Yes
T3CS0452,Truba Institute,2,CSE,8.01,2,Full Stack,"Kotlin, Bash, Rust, TypeScript",TensorFlow,146,75,38,259,0.34,235,Top 25% LeetCode,0,No Internship,4,Production Deployed,Monthly,15,Knows basics,Grokking SD,Strong,Average,Highly Motivated,10,Basic (STAR method),Occasional,None,3,1724,0,ATS Optimized + Strong,Yes - Strong Referral,None,0.74,1,No Offer,No
T3CS0453,Truba Institute,3,CSE,7.41,0,Cybersecurity,"SQL, Rust",Next.js,123,134,57,314,0.45,238,Top 50% LeetCode,0,Service Company (Tier-2),2,Open Source Contrib,Monthly,3,Surface knowledge,None,Strong,Excellent,Motivated,1,Practiced 10+,Rarely,Meta Frontend Cert,0,1376,0,ATS Optimized + Strong,Alumni Referral,Passive (just LinkedIn),0.57,2,No Offer,No
T3CS0454,Shri Vaishnav Institute,4,CSE,9.58,0,Cybersecurity,"Kotlin, Bash, JavaScript","Node.js, Django",86,205,56,347,0.31,193,LeetCode Knight,0,Service Company (Tier-3),5,Original Solo,Daily,1,Not started,None,Strong,Average,Motivated,2,Basic (STAR method),Rarely,GCP Associate,2,2743,15,ATS Optimized,Yes - Weak Referral,None,0.82,2,Offer from Mid Company,No
T3CS0455,Patel College of Science,3,CSE,6.0,0,Data Engineering,Kotlin,Express,111,15,64,190,0.13,178,Candidate Master,0,No Internship,2,Production Deployed,None,2,Surface knowledge,None,Weak,Good,Low Effort,20,Practiced 30+,Occasional,Meta Frontend Cert,0,514,5,Average,Yes - Strong Referral,None,0.56,5,No Offer,No
T3CS0456,Renaissance College,3,CSE,7.72,0,DevOps,"Go, SQL, Rust, Java",PyTorch,157,0,0,157,0.26,221,Top 25% LeetCode,0,No Internship,1,Production Deployed,Monthly,2,Surface knowledge,None,Weak,Average,Neutral,30,Basic (STAR method),Rarely,Multiple Certs,2,702,0,Good but not ATS,Alumni Referral,None,0.81,4,No Offer,No
T3CS0457,RGPV Bhopal,3,CSE,5.55,0,Android/iOS,"Rust, Go, JavaScript",Flutter,79,40,50,169,0.12,0,Pupil,2,Mid Startup (50-200),4,Original Solo,Rarely,2,Not started,Grokking SD,None,Average,Neutral,3,Basic (STAR method),Rarely,Google ML Crash Course,0,1653,20,No Resume Yet,No Referral,None,0.28,4,No Offer,No
T3CS0458,Oriental College,3,CSE,7.61,0,Systems,Kotlin,"Flutter, FastAPI, TensorFlow",118,78,33,229,0.31,0,LeetCode Knight (near),0,No Internship,3,Production Deployed,Weekly,1,Surface knowledge,Multiple SD Books,Strong,Good,Motivated,5,Practiced 10+,Rarely,None,1,2066,0,ATS Optimized,Yes - Strong Referral,None,0.46,1,Offer from Startup,No
T3CS0459,SIRT Bhopal,3,CSE,5.75,0,ML/AI,"Kotlin, TypeScript, SQL",Flutter,59,86,41,186,0.31,103,Newbie,3,Service Company (Tier-2),5,Original Team,None,50,Not started,Grokking SD,Moderate,Good,Highly Motivated,0,None,Daily Tech Reading,Meta Frontend Cert,3,22,0,No Resume Yet,Yes - Strong Referral,Passive (just LinkedIn),0.4,2,No Offer,No
T3CS0460,IES IPS Academy,2,CSE,6.03,0,Backend,"SQL, Rust, JavaScript, Python, C++",Next.js,89,140,25,254,0.17,52,Candidate Master,0,Small Startup (10-50),2,Open Source Contrib,Rarely,2,Not started,Grokking SD,Weak,Below Average,Neutral,3,None,Rarely,Meta Frontend Cert,0,2460,5,ATS Optimized + Strong,Yes - Strong Referral,None,0.77,1,No Offer,No
T3CS0461,Truba Institute,4,CSE,6.03,0,Data Engineering,"Kotlin, JavaScript",FastAPI,95,56,0,151,0.13,224,Top 25% LeetCode,1,Product Company,1,Production Deployed,Weekly,0,Surface knowledge,Grokking SD,Weak,Excellent,Highly Motivated,10,Basic (STAR method),Rarely,Meta Frontend Cert,3,1304,0,Average,Alumni Referral,Passive (just LinkedIn),0.69,4,No Offer,No
T3CS0462,Patel College of Science,3,CSE,8.42,0,Data Engineering,"JavaScript, Bash",Flutter,203,59,23,285,0.19,186,Top 25% LeetCode,1,No Internship,6,Original Solo,Weekly,3,Knows basics well,Grokking SD,None,Good,Motivated,30,Basic (STAR method),Occasional,Coursera Specialization,0,3300,0,Weak,Alumni Referral,Passive (just LinkedIn),0.77,2,No Offer,No
